timestamp,attack_type,src_ip,dst_ip,dst_port,protocol,info
1752521457.235319,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521460.610815,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521460.702262,BruteForce,172.66.1.46,192.168.1.42,51720,,Attempts: 200
1752521460.702365,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521460.773078,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521460.852636,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521460.899574,BruteForce,172.66.1.46,192.168.1.42,51721,,Attempts: 200
1752521460.929855,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521460.972707,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521461.007737,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521461.09122,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521464.286343,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521464.357181,BruteForce,172.66.1.46,192.168.1.42,51721,,Attempts: 200
1752521464.363569,BruteForce,172.66.1.46,192.168.1.42,51720,,Attempts: 200
1752521464.363607,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521464.439413,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521464.515277,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521464.593606,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521464.606788,Exfiltration,192.168.1.42,,,,Total bytes sent: 10000021
1752521464.631358,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521464.670639,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521464.746964,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521464.781961,BruteForce,172.66.1.46,192.168.1.42,51721,,Attempts: 200
1752521468.161226,BruteForce,172.66.1.46,192.168.1.42,51720,,Attempts: 200
1752521468.17203,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521468.252465,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521468.325263,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521468.397574,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521468.473311,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521468.504704,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521468.552432,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521468.572405,BruteForce,172.66.1.46,192.168.1.42,51721,,Attempts: 200
1752521468.642829,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521472.398645,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521472.42001,BruteForce,172.66.1.46,192.168.1.42,51720,,Attempts: 200
1752521472.438312,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521472.575872,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521472.689583,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521472.722286,BruteForce,172.66.1.46,192.168.1.42,51721,,Attempts: 200
1752521472.793202,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521472.840623,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521472.888527,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521472.980144,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521472.993936,BruteForce,172.66.1.46,192.168.1.42,51721,,Attempts: 200
1752521479.161384,BruteForce,192.168.1.42,172.67.26.165,443,,Attempts: 200
1752521480.092769,BruteForce,192.168.1.42,34.102.139.130,443,,Attempts: 200
1752521481.407633,BruteForce,172.67.26.165,192.168.1.42,51729,,Attempts: 200
1752521516.923496,BruteForce,192.168.1.42,172.67.26.165,443,,Attempts: 200
1752521516.977888,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.005693,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.028055,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.034798,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.042319,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.05043,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521517.05294,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.062503,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.071778,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.074951,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.079293,BruteForce,172.66.1.46,192.168.1.42,51737,,Attempts: 200
1752521517.081732,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.085787,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521517.115093,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.149349,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.189883,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.227418,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.268031,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.279303,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521517.304717,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.336177,BruteForce,172.66.1.46,192.168.1.42,51737,,Attempts: 200
1752521517.342829,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.360186,Exfiltration,192.168.1.42,,,,Total bytes sent: 10001074
1752521517.418109,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.458945,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.496825,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.511843,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521517.535778,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.572476,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.602649,BruteForce,172.66.1.46,192.168.1.42,51737,,Attempts: 200
1752521517.617827,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.733247,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.73531,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.736418,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521517.738406,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.746538,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521517.794093,BruteForce,172.66.1.46,192.168.1.42,51737,,Attempts: 200
1752521518.049234,BruteForce,172.66.1.46,192.168.1.42,51737,,Attempts: 200
1752521518.053552,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521518.190584,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521518.248767,BruteForce,172.66.1.46,192.168.1.42,51738,,Attempts: 200
1752521518.26407,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521518.275678,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521518.296022,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521518.325456,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521518.371123,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521518.432123,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521518.463999,BruteForce,172.66.1.46,192.168.1.42,51737,,Attempts: 200
1752521518.480912,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521518.500984,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521518.506225,DDoS,,192.168.1.42,,,Packets/sec: 1001
1752521518.529384,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
